"Question Text";"Answer"
"What is the difference between supervised and unsupervised learning?";""
"What is overfitting, and how can you prevent it?";""
"Explain the bias-variance tradeoff?;""
"What are some common evaluation metrics for classification problems?";""
"What is gradient descent, and how does it work?";""
"What is tokenization in NLP?";""
"What is the difference between stemming and lemmatization?";""
"Explain the concept of word embeddings?",""
"What are transformers, and why are they important in NLP?";""
"How does a Recurrent Neural Network (RNN) differ from a Transformer?";""
"What is the difference between convolutional neural networks (CNNs) and fully connected networks?";""
"Explain the concept of pooling in CNNs and why it is used?";""
"What is the purpose of the activation function in a neural network?";""
"How do you handle the vanishing gradient problem in deep learning?";""
"What are some common techniques for data augmentation in image processing?";""
